"企業産業中分類","企業数","0～4人","5～9人","10～19人","20～29人","30～49人","50～99人"," 100 　～299人"," 300  ～999人","1,000 ～1,999人","2,000 ～4,999人","  5,000人        以上"
"A～R 全産業(S公務を除く)__","10302.0","5429.0","2069.0","1336.0","522.0","458.0","282.0","171.0","28.0","4.0","2.0","1.0"
"　A～B 農林漁業__","86.0","47.0","17.0","14.0","3.0","3.0","-","2.0","-","-","-","-"
"　A～B 農林漁業_　　A 農業，林業_","60.0","32.0","11.0","10.0","3.0","2.0","-","2.0","-","-","-","-"
"　A～B 農林漁業_　　A 農業，林業_　　　01 農業","47.0","21.0","11.0","8.0","3.0","2.0","-","2.0","-","-","-","-"
"　A～B 農林漁業_　　A 農業，林業_　　　02 林業","13.0","11.0","-","2.0","-","-","-","-","-","-","-","-"
"　A～B 農林漁業_　　B 漁業_","25.0","14.0","6.0","4.0","-","1.0","-","-","-","-","-","-"
"　A～B 農林漁業_　　B 漁業_　　　03 漁業(水産養殖業を除く)","7.0","3.0","1.0","2.0","-","1.0","-","-","-","-","-","-"
"　A～B 農林漁業_　　B 漁業_　　　04 水産養殖業","18.0","11.0","5.0","2.0","-","-","-","-","-","-","-","-"
"　A～B 農林漁業_　　@ 農業，林業，漁業 間格付不能_","1.0","1.0","-","-","-","-","-","-","-","-","-","-"
"　A～B 農林漁業_　　　@Z 農業，林業，漁業 間格付不能_","1.0","1.0","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)__","10216.0","5382.0","2052.0","1322.0","519.0","455.0","282.0","169.0","28.0","4.0","2.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　C 鉱業，採石業，砂利採取業_","5.0","2.0","-","1.0","2.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　C 鉱業，採石業，砂利採取業_　　　05 鉱業，採石業，砂利採取業","5.0","2.0","-","1.0","2.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_","1731.0","962.0","430.0","216.0","59.0","40.0","19.0","3.0","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　06 総合工事業","1039.0","555.0","272.0","138.0","34.0","27.0","10.0","2.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　07 職別工事業(設備工事業を除く)","281.0","166.0","77.0","25.0","7.0","4.0","1.0","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　D 建設業_　　　08 設備工事業","388.0","226.0","77.0","50.0","17.0","9.0","8.0","-","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　DZ 建設業 内格付不能_","23.0","15.0","4.0","3.0","1.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_","1879.0","687.0","421.0","321.0","145.0","128.0","102.0","65.0","7.0","3.0","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　09 食料品製造業","329.0","76.0","79.0","78.0","33.0","33.0","23.0","6.0","-","1.0","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　10 飲料・たばこ・飼料製造業","42.0","15.0","7.0","5.0","4.0","2.0","4.0","5.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　11 繊維工業","281.0","119.0","65.0","45.0","22.0","12.0","13.0","4.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　12 木材・木製品製造業(家具を除く)","121.0","62.0","26.0","17.0","5.0","8.0","1.0","2.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　13 家具・装備品製造業","114.0","48.0","36.0","19.0","4.0","3.0","2.0","2.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　14 パルプ・紙・紙加工品製造業","33.0","13.0","4.0","8.0","2.0","2.0","3.0","1.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　15 印刷・同関連業","90.0","51.0","15.0","9.0","4.0","6.0","4.0","-","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　16 化学工業","71.0","21.0","8.0","9.0","6.0","11.0","9.0","7.0","-","-","-","-"
