"産業分類","事業所数_計","事業所数_従業員規模_2人以下","事業所数_従業員規模_3～4人","事業所数_従業員規模_5～9人","事業所数_従業員規模_10～19人","事業所数_従業員規模_20～29人","事業所数_従業員規模_30～49人","事業所数_従業員規模_50～99人","事業所数_従業員規模_100人以上","従業者数(人)","年間商品販 売 額(百万円)","商　品手持額(百万円)","売場面積(㎡)"
"合計","10904.0","5505.0","2482.0","1660.0","761.0","226.0","144.0","90.0","36.0","60782.0","1708937.0","122089.0","1143450.0"
"卸売業計","2121.0","649.0","576.0","527.0","232.0","71.0","43.0","17.0","6.0","15158.0","920207.0","43819.0","-"
"50_各種商品卸売業","9.0","1.0","2.0","4.0","2.0","-","-","-","-","62.0","2023.0","187.0","-"
"5011_各種商品卸売業（従業者が常時100人以上のもの）","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5019_その他の各種商品卸売業","9.0","1.0","2.0","4.0","2.0","-","-","-","-","62.0","2023.0","187.0","-"
"51_繊維・衣服等卸売業","80.0","37.0","15.0","16.0","4.0","3.0","3.0","1.0","1.0","650.0","28245.0","4111.0","-"
"511_繊維品卸売業（衣服，身の回り品を除く）","16.0","7.0","4.0","3.0","1.0","1.0","-","-","-","88.0","1502.0","230.0","-"
"5111_繊維原料卸売業","3.0","1.0","1.0","1.0","-","-","-","-","-","12.0","302.0","42.0","-"
"5112_糸卸売業","5.0","3.0","1.0","1.0","-","-","-","-","-","15.0","165.0","35.0","-"
"5113_織物卸売業（室内装飾繊維品を除く）","8.0","3.0","2.0","1.0","1.0","1.0","-","-","-","61.0","1035.0","153.0","-"
"512_衣服卸売業","22.0","11.0","2.0","6.0","-","1.0","2.0","-","-","161.0","3940.0","467.0","-"
"5121_男子服卸売業","5.0","2.0","-","2.0","-","-","1.0","-","-","50.0","1832.0","237.0","-"
"5122_婦人・子供服卸売業","8.0","3.0","2.0","2.0","-","1.0","-","-","-","48.0","1686.0","67.0","-"
"5123_下着類卸売業","6.0","4.0","-","1.0","-","-","1.0","-","-","55.0","352.0","100.0","-"
"5129_その他の衣服卸売業","3.0","2.0","-","1.0","-","-","-","-","-","8.0","70.0","62.0","-"
"513_身の回り品卸売業","42.0","19.0","9.0","7.0","3.0","1.0","1.0","1.0","1.0","401.0","22803.0","3414.0","-"
"5131_寝具類卸売業","6.0","3.0","-","2.0","-","-","1.0","-","-","53.0","1427.0","147.0","-"
"5132_靴・履物卸売業","11.0","5.0","3.0","1.0","1.0","1.0","-","-","-","63.0","2541.0","144.0","-"
"5133_かばん・袋物卸売業","1.0","1.0","-","-","-","-","-","-","-","2.0","X","X","-"
"5139_その他の身の回り品卸売業","24.0","10.0","6.0","4.0","2.0","-","-","1.0","1.0","283.0","X","X","-"
"52_飲食料品卸売業","659.0","189.0","187.0","151.0","79.0","28.0","16.0","7.0","2.0","4971.0","277230.0","11310.0","-"
"521_農畜産物・水産物卸売業","388.0","103.0","109.0","93.0","48.0","18.0","11.0","4.0","2.0","3173.0","138777.0","3901.0","-"
"5211_米麦卸売業","25.0","7.0","8.0","7.0","2.0","1.0","-","-","-","132.0","9379.0","2057.0","-"
"5212_雑穀・豆類卸売業","6.0","2.0","3.0","-","1.0","-","-","-","-","25.0","1526.0","68.0","-"
"5213_野菜卸売業","65.0","16.0","11.0","13.0","10.0","6.0","4.0","3.0","2.0","1036.0","42953.0","221.0","-"
"5214_果実卸売業","69.0","14.0","22.0","22.0","8.0","2.0","1.0","-","-","451.0","20828.0","504.0","-"
"5215_食肉卸売業","45.0","12.0","9.0","11.0","8.0","1.0","4.0","-","-","398.0","14386.0","338.0","-"
"5216_生鮮魚介卸売業","145.0","40.0","44.0","35.0","16.0","8.0","1.0","1.0","-","957.0","44286.0","639.0","-"
"5219_その他の農畜産物・水産物卸売業","33.0","12.0","12.0","5.0","3.0","-","1.0","-","-","174.0","5419.0","75.0","-"
"522_食料・飲料卸売業","271.0","86.0","78.0","58.0","31.0","10.0","5.0","3.0","-","1798.0","138453.0","7409.0","-"
"5221_砂糖・味そ・しょう油卸売業","15.0","5.0","5.0","4.0","-","-","1.0","-","-","79.0","4171.0","198.0","-"
"5222_酒類卸売業","22.0","5.0","6.0","5.0","4.0","1.0","1.0","-","-","161.0","20072.0","2380.0","-"
"5223_乾物卸売業","22.0","8.0","10.0","3.0","1.0","-","-","-","-","82.0","1589.0","75.0","-"
"5224_菓子・パン類卸売業","45.0","14.0","18.0","6.0","6.0","1.0","-","-","-","234.0","12113.0","242.0","-"
"5225_飲料卸売業（別掲を除く）","24.0","2.0","7.0","6.0","7.0","2.0","-","-","-","199.0","11132.0","379.0","-"
"5226_茶類卸売業","12.0","8.0","4.0","-","-","-","-","-","-","28.0","229.0","15.0","-"
"5227_牛乳・乳製品卸売業","28.0","11.0","2.0","6.0","6.0","1.0","-","2.0","-","303.0","8718.0","144.0","-"
"5229_その他の食料・飲料卸売業","103.0","33.0","26.0","28.0","7.0","5.0","3.0","1.0","-","712.0","80429.0","3975.0","-"
"53_建築材料，鉱物・金属材料等卸売業","517.0","144.0","145.0","151.0","56.0","8.0","11.0","1.0","1.0","3270.0","205380.0","8976.0","-"
"531_建築材料卸売業","276.0","80.0","82.0","78.0","26.0","4.0","5.0","1.0","-","1595.0","89173.0","3214.0","-"
"5311_木材・竹材卸売業","69.0","20.0","21.0","20.0","7.0","-","1.0","-","-","369.0","17708.0","1245.0","-"
"5312_セメント卸売業","15.0","6.0","3.0","5.0","1.0","-","-","-","-","66.0","5575.0","46.0","-"
"5313_板ガラス卸売業","7.0","4.0","1.0","-","2.0","-","-","-","-","33.0","1238.0","76.0","-"
"5314_建築用金属製品卸売業（建築用金物を除く）","44.0","13.0","17.0","10.0","3.0","1.0","-","-","-","206.0","6555.0","92.0","-"
"5319_その他の建築材料卸売業","141.0","37.0","40.0","43.0","13.0","3.0","4.0","1.0","-","921.0","58097.0","1755.0","-"
"532_化学製品卸売業","113.0","35.0","31.0","30.0","11.0","2.0","3.0","-","1.0","790.0","48177.0","3449.0","-"
"5321_塗料卸売業","26.0","11.0","10.0","4.0","1.0","-","-","-","-","98.0","2498.0","173.0","-"
"5322_プラスチック卸売業","25.0","7.0","7.0","5.0","4.0","1.0","1.0","-","-","186.0","10858.0","707.0","-"
"5329_その他の化学製品卸売業","62.0","17.0","14.0","21.0","6.0","1.0","2.0","-","1.0","506.0","34820.0","2569.0","-"
"533_石油・鉱物卸売業","55.0","12.0","13.0","15.0","11.0","1.0","3.0","-","-","472.0","53755.0","940.0","-"
"5331_石油卸売業","52.0","11.0","12.0","14.0","11.0","1.0","3.0","-","-","461.0","51720.0","827.0","-"
"5332_鉱物卸売業（石油を除く）","3.0","1.0","1.0","1.0","-","-","-","-","-","11.0","2035.0","114.0","-"
"534_鉄鋼製品卸売業","34.0","7.0","9.0","14.0","4.0","-","-","-","-","180.0","X","X","-"
"5341_鉄鋼粗製品卸売業","4.0","3.0","-","1.0","-","-","-","-","-","9.0","1426.0","118.0","-"
"5342_鉄鋼一次製品卸売業","24.0","4.0","6.0","10.0","4.0","-","-","-","-","140.0","5920.0","851.0","-"
"5349_その他の鉄鋼製品卸売業","6.0","-","3.0","3.0","-","-","-","-","-","31.0","X","X","-"
"535_非鉄金属卸売業","2.0","1.0","-","1.0","-","-","-","-","-","7.0","X","X","-"
"5351_非鉄金属地金卸売業","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5352_非鉄金属製品卸売業","2.0","1.0","-","1.0","-","-","-","-","-","7.0","X","X","-"
"536_再生資源卸売業","37.0","9.0","10.0","13.0","4.0","1.0","-","-","-","226.0","5189.0","281.0","-"
"5361_空瓶・空缶等空容器卸売業","4.0","1.0","2.0","1.0","-","-","-","-","-","17.0","171.0","4.0","-"
"5362_鉄スクラップ卸売業","20.0","7.0","5.0","4.0","3.0","1.0","-","-","-","128.0","2709.0","91.0","-"
"5363_非鉄金属スクラップ卸売業","3.0","1.0","-","1.0","1.0","-","-","-","-","25.0","1952.0","157.0","-"
"5364_古紙卸売業","6.0","-","-","6.0","-","-","-","-","-","40.0","191.0","X","-"
"5369_その他の再生資源卸売業","4.0","-","3.0","1.0","-","-","-","-","-","16.0","167.0","X","-"
"54_機械器具卸売業","336.0","85.0","95.0","100.0","39.0","9.0","6.0","2.0","-","2199.0","110464.0","5850.0","-"
"541_産業機械器具卸売業","104.0","27.0","31.0","27.0","17.0","2.0","-","-","-","582.0","27671.0","1233.0","-"
"5411_農業用機械器具卸売業","4.0","1.0","2.0","-","1.0","-","-","-","-","24.0","765.0","101.0","-"
"5412_建設機械・鉱山機械卸売業","6.0","2.0","1.0","2.0","1.0","-","-","-","-","32.0","1490.0","17.0","-"
"5413_金属加工機械卸売業","4.0","1.0","2.0","1.0","-","-","-","-","-","16.0","761.0","15.0","-"
"5414_事務用機械器具卸売業","25.0","8.0","6.0","8.0","3.0","-","-","-","-","116.0","3197.0","87.0","-"
"5419_その他の産業機械器具卸売業","65.0","15.0","20.0","16.0","12.0","2.0","-","-","-","394.0","21458.0","1013.0","-"
"542_自動車卸売業","99.0","27.0","26.0","32.0","8.0","4.0","1.0","1.0","-","637.0","17991.0","1706.0","-"
"5421_自動車卸売業（二輪自動車を含む）","24.0","13.0","7.0","2.0","-","1.0","1.0","-","-","119.0","2791.0","1074.0","-"
"5422_自動車部分品・附属品卸売業（中古品を除く）","69.0","13.0","18.0","27.0","7.0","3.0","-","1.0","-","481.0","14709.0","610.0","-"
"5423_自動車中古部品卸売業","6.0","1.0","1.0","3.0","1.0","-","-","-","-","37.0","491.0","23.0","-"
"543_電気機械器具卸売業","88.0","21.0","27.0","29.0","7.0","2.0","2.0","-","-","536.0","33257.0","1123.0","-"
"5431_家庭用電気機械器具卸売業","30.0","8.0","8.0","11.0","2.0","1.0","-","-","-","167.0","15640.0","370.0","-"
"5432_電気機械器具卸売業（家庭用電気機械器具を除く）","58.0","13.0","19.0","18.0","5.0","1.0","2.0","-","-","369.0","17617.0","753.0","-"
"549_その他の機械器具卸売業","45.0","10.0","11.0","12.0","7.0","1.0","3.0","1.0","-","444.0","31545.0","1788.0","-"
"5491_輸送用機械器具卸売業（自動車を除く）","6.0","-","1.0","-","4.0","-","1.0","-","-","91.0","1845.0","110.0","-"
"5492_計量器・理化学機械器具・光学機械器具等卸売業","14.0","5.0","5.0","4.0","-","-","-","-","-","50.0","1802.0","96.0","-"
"5493_医療用機械器具卸売業（歯科用機械器具を含む）","25.0","5.0","5.0","8.0","3.0","1.0","2.0","1.0","-","303.0","27898.0","1582.0","-"
"55_その他の卸売業","520.0","193.0","132.0","105.0","52.0","23.0","7.0","6.0","2.0","4006.0","296866.0","13384.0","-"
"551_家具・建具・じゅう器等卸売業","120.0","50.0","28.0","24.0","6.0","10.0","2.0","-","-","715.0","24338.0","2833.0","-"
"5511_家具・建具卸売業","43.0","15.0","8.0","10.0","3.0","6.0","1.0","-","-","323.0","13337.0","618.0","-"
